"2016-05-16","SE0000416570","SenseAir AB, B","Köp",8.25,20000,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",7,600,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9,10000,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Sälj",10,10000,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9,20000,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9.1,0,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9.1,16400,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9.1,17000,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Sälj",9.1,0,"Nej","0"
"2016-05-16","SE0000416570","SenseAir AB, B","Köp",9.1,0,"Nej","0"
