2005, 117.79595386, 121.6772865, 145.936622243, 146.950674685, 134.619365602, 133.279646097, 139.45484764, 136.956611302, 132.90541678, 136.010337781, 134.229080779
2006, 137.607464261, 139.979552387, 152.411971227, 155.348464681, 158.096605516, 158.791320103, 167.962252535, 170.244589125, 168.20038011, 173.080400001, 180.577296493
2007, 192.062300824, 192.398901279, 197.021725848, 194.999976819, 202.818559847, 206.658606996, 206.02117713, 209.654930089, 215.987756256, 219.298249602, 204.519505381
2008, 201.48, 203.631874509, 202.656565298, 204.762657942, 204.663357404, 203.496289728, 210.318684365, 202.920655886, 196.165844737, 196.898888951, 191.982232986
2009, 183.33, 186.678760543, 190.032582456, 195.625786838, 189.168526204, 191.769249144, 187.804743812, 190.038390879, 191.297135856, 193.813034846, 192.572346758
2010, 197.10, 197.97343102, 198.077212849, 206.998009366, 210.069812755, 222.434061186, 227.835845231, 232.427874115, 233.799271836, 234.302464765, 239.862285825
2011, 243.55, 245.577489053, 246.881071624, 248.149299648, 241.982811301, 231.119050642, 221.197092183, 223.702569382, 221.171701533, 225.772421177, 206.409697417
2012, 206.63, 223.134048904, 226.009476194, 225.119447669, 230.238302523, 229.927087783, 229.392417487, 221.390203918, 213.039213733, 210.38189509, 207.851547635
2013, 208.38, 214.73, 218.78, 211.85, 208.16, 209.262275405, 213.115814781, 209.358889894, 208.208274444, 210.119071644, 199.296857786
2014, 199.954035362, 201.37, 198.83, 201.32, 197.03, 202.59, 199.73, 200.931199509, 198.974838566, 198.191908015, 191.166287047
2015, 190.299969985, 193.74, 191.39, 193.27, 191.84, 190.03, 191.29, 195.411325549, 195.634757006, 195.82794699, 206.972595209
2016, 205.503486389, 205.54, 218.41, 219.05, 230.12, 235.68, 242.99, 248.882036872, 253.811897884, 255.71203074, 251.633708304
