"SE0000603367","AB Edsbyns Elverk, B","2017-01-16",610,150,"0"
"SE0001775503","Active Properties AB, A","2017-01-16",0.5,500,"0"
"SE0001775511","Active Properties AB, B","2017-01-16",0.5,44400,"0"
"SE0003086198","Älvsborgsvind AB","2017-01-16",34,500,"0"
"SE0004750297","Bohusvind AB, B","2017-01-16",15,200,"0"
"SE0003848613","Box Destilleri AB, B","2017-01-16",26,4800,"0"
"SE0000201253","Dala Energi AB, A","2017-01-16",11.3,2291,"0"
"SE0000667750","Forsstrom High Frequency AB ","2017-01-16",6,18500,"0"
"SE0001662263","Pepins Group AB","2017-01-16",1500,656,"0"
"SE0007525316","Rasta Group AB","2017-01-16",9.5,1000,"0"
"SE0000416570","SenseAir AB, B","2017-01-16",21,8020,"0"
"SE0006964847","Slitevind AB","2017-01-16",31,12721,"0"
"SE0000418550","Spiltan, Investment AB","2017-01-16",5200,738,"0"
"SE0007191705","St Petersburg Property Company AB","2017-01-16",30,90500,"0"
"SE0001321761","Triona AB","2017-01-16",19,5000,"0"
"SE0003088541","Xavitech AB, B ","2017-01-16",14,2000,"0"
