"2017-01-16","SE0000667750","Forsstrom High Frequency AB ","Köp",6,6000,"Nej","5"
"2017-01-16","SE0000667750","Forsstrom High Frequency AB ","Sälj",6,3500,"Nej","5"
"2017-01-16","SE0000667750","Forsstrom High Frequency AB ","Sälj",6,15000,"Nej","5"
