"SE0000603342","AB Edsbyns Elverk, A","2016-01-19",450,0,"0"
"SE0000603367","AB Edsbyns Elverk, B","2016-01-19",670,0,"0"
"SE0001775503","Active Properties AB, A","2016-01-19",0.36,0,"0"
"SE0001775511","Active Properties AB, B","2016-01-19",0.35,0,"0"
"SE0003086198","Älvsborgsvind AB","2016-01-19",32,0,"0"
"SE0004750289","Bohusvind AB, A","2016-01-19",35,,"0"
"SE0004750297","Bohusvind AB, B","2016-01-19",18,0,"0"
"SE0003848613","Box Destilleri AB, B","2016-01-19",23,3200,"0"
"SE0000519928","Centrecourt AB","2016-01-19",0.07,,"0"
"SE0006080461","Clean Oil Technology","2016-01-19",0.5,0,"0"
"SE0000201253","Dala Energi AB, A","2016-01-19",12,8500,"0"
"SE0005218740","Dialect AB, B","2016-01-19",68,0,"0"
"SE0000191496","Elajo Invest AB, B","2016-01-19",250,0,"0"
"SE0000667750","Forsstrom High Frequency AB ","2016-01-19",5,,"0"
"SE0001823352","Garpco AB, B","2016-01-19",145,0,"0"
"SE0001536467","MedCore AB","2016-01-19",0.5,0,"0"
"SE0007412861","Moretime Financial Services AB, pref","2016-01-19",52,0,"0"
"SE0002475343","Rabbalshede Kraft AB, B","2016-01-19",5,1000,"0"
"SE0000745143","Rasta Group AB","2016-01-19",4.2,32000,"0"
"SE0000105371","Rederi AB Gotland, A","2016-01-19",1400,0,"0"
"SE0000105397","Rederi AB Gotland, B","2016-01-19",1380,0,"0"
"SE0000416570","SenseAir AB, B","2016-01-19",6.8,0,"0"
"SE0006964847","Slitevind AB","2016-01-19",41,0,"0"
"SE0000418550","Spiltan, Investment AB","2016-01-19",2900,770,"0"
"SE0004330397","Spiltan, Investment AB, Pref","2016-01-19",2950,0,"0"
"SE0001321761","Triona AB","2016-01-19",15.5,0,"0"
"SE0003088541","Xavitech AB, B ","2016-01-19",13,500,"0"
