"SE0001775503","Active Properties AB, A","2016-12-12",0.5,19400,"0"
"SE0001775511","Active Properties AB, B","2016-12-12",0.5,120000,"0"
"MI5590468016","Alvestaglass Partners Sweden AB","2016-12-12",75,11570,"0"
"SE0003086198","Älvsborgsvind AB","2016-12-12",34,125,"0"
"SE0006080461","Clean Oil Technology","2016-12-12",0.82,7340,"0"
"SE0000201253","Dala Energi AB, A","2016-12-12",12,16276,"0"
"SE0005334703","Euroforest AB, B","2016-12-12",128,1013,"0"
"SE0001823352","Garpco AB, B","2016-12-12",150,389,"0"
"SE0001662263","Pepins Group AB","2016-12-12",1500,98,"0"
"SE0002475343","Rabbalshede Kraft AB, B","2016-12-12",3.8,4000,"0"
"SE0007525316","Rasta Group AB","2016-12-12",7.5,13175,"0"
"SE0000105371","Rederi AB Gotland, A","2016-12-12",1480,5,"0"
"SE0000416570","SenseAir AB, B","2016-12-12",19.1,22000,"0"
"SE0000418550","Spiltan, Investment AB","2016-12-12",4600,1622,"0"
"SE0001321761","Triona AB","2016-12-12",20,5000,"0"
