"2017-02-20","SE0000667750","Forsstrom High Frequency AB ","Köp",6,11000,"Nej","5"
"2017-02-20","SE0000667750","Forsstrom High Frequency AB ","Sälj",6,0,"Nej","5"
"2017-02-20","SE0000667750","Forsstrom High Frequency AB ","Sälj",6,0,"Nej","5"
