"SE0000603342","AB Edsbyns Elverk, A","2017-04-24",400,50,"0"
"SE0000603367","AB Edsbyns Elverk, B","2017-04-24",590,150,"0"
"SE0001775503","Active Properties AB, A","2017-04-24",0.5,24040,"0"
"SE0001775511","Active Properties AB, B","2017-04-24",0.7,70000,"0"
"SE0003086198","Älvsborgsvind AB","2017-04-24",39,200,"0"
"SE0003848613","Box Destilleri AB, B","2017-04-24",27,1650,"0"
"SE0000201253","Dala Energi AB, A","2017-04-24",13.4,13925,"0"
"SE0000191496","Elajo Invest AB, B","2017-04-24",200,600,"0"
"SE0005334703","Euroforest AB, B","2017-04-24",110,1000,"0"
"SE0001662263","Pepins Group AB","2017-04-24",1700,143,"0"
"SE0002475343","Rabbalshede Kraft AB, B","2017-04-24",3.9,5130,"0"
"SE0007525316","Rasta Group AB","2017-04-24",9.7,1100,"0"
"SE0000416570","SenseAir AB, B","2017-04-24",18,71888,"0"
"SE0009495898","Slättens Vind AB","2017-04-24",59,1000,"0"
"SE0006964847","Slitevind AB","2017-04-24",31,1700,"0"
"SE0000418550","Spiltan, Investment AB","2017-04-24",6800,1580,"0"
"SE0008730535","Train Alliance Sweden AB","2017-04-24",17,17600,"0"
"SE0001321761","Triona AB","2017-04-24",19.8,5000,"0"
